1980-01-01,.42
1980-01-02,.44
1980-01-03,.47
1980-01-04,0
1980-01-05,.03
1980-01-06,.05
1980-01-07,.08
1980-01-08,.11
1980-01-09,.14
1980-01-10,.17
1980-01-11,.19
1980-01-12,.22
1980-01-13,.25
1980-01-14,.28
1980-01-15,.30
1980-01-16,.33
1980-01-17,.36
1980-01-18,.39
1980-01-19,.42
1980-01-20,.44
1980-01-21,.47
1980-01-22,0
1980-01-23,.03
1980-01-24,.05
1980-01-25,.08
1980-01-26,.11
1980-01-27,.14
1980-01-28,.16
1980-02-01,.19
1980-02-02,.22
1980-02-03,.25
1980-02-04,.03
1980-02-05,.06
1980-02-06,.09
1980-02-07,.12
1980-02-08,.14
1980-02-09,.43
1980-02-10,.46
1980-02-11,.48
1980-02-12,.01
1980-02-13,.04
1980-02-14,.32
1980-02-15,.35
1980-02-16,.38
1980-02-17,.41
1980-02-18,.43
1980-02-19,.46
1980-02-20,.25
1980-02-21,.27
1980-02-22,.30
1980-02-23,.33
1980-02-24,.36
1980-02-25,.14
1980-02-26,.17
1980-02-27,.20
1980-02-28,.23
1980-03-01,.25
1980-03-02,.04
1980-03-03,.07
1980-03-04,.35
1980-03-05,.38
1980-03-06,.41
1980-03-07,.43
1980-03-08,.22
1980-03-09,.26
1980-03-10,.29
1980-03-11,.32
1980-03-12,.34
1980-03-13,.37
1980-03-14,.40
1980-03-15,.43
1980-03-16,.45
1980-03-17,.48
1980-03-18,.01
1980-03-19,.04
1980-03-20,.07
1980-03-21,.09
1980-03-22,.12
1980-03-23,.15
1980-03-24,.18
1980-03-25,.20
1980-03-26,.23
1980-03-27,.26
1980-03-28,.29
1980-04-01,.31
1980-04-02,.34
1980-04-03,.37
1980-04-04,.40
1980-04-05,.43
1980-04-06,.45
1980-04-07,.48
1980-04-08,.01
1980-04-09,.04
1980-04-10,.06
1980-04-11,.09
1980-04-12,.12
1980-04-13,.15
1980-04-14,.18
1980-04-15,.20
1980-04-16,.23
1980-04-17,.26
1980-04-18,.29
1980-04-19,.31
1980-04-20,.34
1980-04-21,.37
1980-04-22,.40
1980-04-23,.42
1980-04-24,.45
1980-04-25,.48
1980-04-26,.01
1980-04-27,.04
1980-04-28,.06
1980-05-01,.09
1980-05-02,.12
1980-05-03,.15
1980-05-04,.17
1980-05-05,.20
1980-05-06,.23
1980-05-07,.26
1980-05-08,.29
1980-05-09,.31
1980-05-10,.34
1980-05-11,.37
1980-05-12,.40
1980-05-13,.42
1980-05-14,.45
1980-05-15,.48
1980-05-16,.01
1980-05-17,.03
1980-05-18,.06
1980-05-19,.09
1980-05-20,.12
1980-05-21,.15
1980-05-22,.17
1980-05-23,.20
1980-05-24,.23
1980-05-25,.26
1980-05-26,.28
1980-05-27,.31
1980-05-28,.34
1980-06-01,.37
1980-06-02,.40
1980-06-03,.42
1980-06-04,.45
1980-06-05,.48
1980-06-06,.01
1980-06-07,.03
1980-06-08,.06
1980-06-09,.09
1980-06-10,.12
1980-06-11,.14
1980-06-12,.17
1980-06-13,.20
1980-06-14,.23
1980-06-15,.26
1980-06-16,.28
1980-06-17,.31
1980-06-18,.34
1980-06-19,.37
1980-06-20,.39
1980-06-21,.42
1980-06-22,.45
1980-06-23,.48
1980-06-24,.01
1980-06-25,.03
1980-06-26,.06
1980-06-27,.09
1980-06-28,.12
1980-07-01,.14
1980-07-02,.17
1980-07-03,.20
1980-07-04,.23
1980-07-05,.25
1980-07-06,.28
1980-07-07,.31
1980-07-08,.34
1980-07-09,.37
1980-07-10,.13
1980-07-11,.15
1980-07-12,.18
1980-07-13,.21
1980-07-14,.24
1980-07-15,.27
1980-07-16,.29
1980-07-17,.32
1980-07-18,.35
1980-07-19,.38
1980-07-20,.40
1980-07-21,.43
1980-07-22,.46
1980-07-23,.49
1980-07-24,.02
1980-07-25,.04
1980-07-26,.07
1980-07-27,.10
1980-07-28,.13
1980-08-01,.15
1980-08-02,.18
1980-08-03,.21
1980-08-04,.24
1980-08-05,.26
1980-08-06,.29
1980-08-07,.32
1980-08-08,.35
1980-08-09,.38
1980-08-10,.40
1980-08-11,.43
1980-08-12,.46
1980-08-13,.49
1980-08-14,.01
1980-08-15,.04
1980-08-16,.07
1980-08-17,.10
1980-08-18,.13
1980-08-19,.15
1980-08-20,.18
1980-08-21,.21
1980-08-22,.24
1980-08-23,.26
1980-08-24,.29
1980-08-25,.32
1980-08-26,.35
1980-08-27,.37
1980-08-28,.40
1980-09-01,.43
1980-09-02,.46
1980-09-03,.49
1980-09-04,.01
1980-09-05,.04
1980-09-06,.07
1980-09-07,.10
1980-09-08,.12
1980-09-09,.18
1980-09-10,.22
1980-09-11,.02
1980-09-12,.30
1980-09-13,.10
1980-09-14,.39
1980-09-15,.47
1980-09-16,.27
1980-09-17,.35
1980-09-18,.44
1980-09-19,.22
1980-09-20,.02
1980-09-21,.05
1980-09-22,.33
1980-09-23,.36
1980-09-24,.17
1980-09-25,.20
1980-09-26,.24
1980-09-27,.27
1980-09-28,.30
1980-10-01,.32
1980-10-02,.35
1980-10-03,.14
1980-10-04,.16
1980-10-05,.19
1980-10-06,.22
1980-10-07,.25
1980-10-08,.03
1980-10-09,.32
1980-10-10,.34
1980-10-11,.37
1980-10-12,.40
1980-10-13,.43
1980-10-14,.21
1980-10-15,.27
1980-10-16,.07
1980-10-17,.09
1980-10-18,.38
1980-10-19,.18
1980-10-20,.20
1980-10-21,0
1980-10-22,.30
1980-10-23,.09
1980-10-24,.41
1980-10-25,.20
1980-10-26,.48
1980-10-27,.28
1980-10-28,.34
1980-11-01,.36
1980-11-02,.41
1980-11-03,.46
1980-11-04,.02
1980-11-05,.04
1980-11-06,.07
1980-11-07,.36
1980-11-08,.38
1980-11-09,.44
1980-11-10,.47
1980-11-11,0
1980-11-12,.06
1980-11-13,.36
1980-11-14,.16
1980-11-15,.19
1980-11-16,.49
1980-11-17,.27
1980-11-18,.06
1980-11-19,.10
1980-11-20,.38
1980-11-21,.18
1980-11-22,.21
1980-11-23,.24
1980-11-24,.27
1980-11-25,.29
1980-11-26,.08
1980-11-27,.11
1980-11-28,.13
1980-12-01,.16
1980-12-02,.19
1980-12-03,.22
1980-12-04,.24
1980-12-05,.27
1980-12-06,.30
1980-12-07,.08
1980-12-08,.11
1980-12-09,.40
1980-12-10,.42
1980-12-11,.45
1980-12-12,.48
1980-12-13,.26
1980-12-14,.29
1980-12-15,.08
1980-12-16,.12
1980-12-17,.16
1980-12-18,.20
1980-12-19,.49
1980-12-20,.01
1980-12-21,.30
1980-12-22,.33
1980-12-23,.35
1980-12-24,.38
1980-12-25,.41
1980-12-26,.19
1980-12-27,.48
1980-12-28,.01
